temperature,humidity,rainfall,crop,suitable
25.97,38.1,55.78,millet,1
21.69,68.43,49.97,tomato,1
15.36,65.23,66.48,potato,1
23.92,81.07,195.91,sugarcane,1
40.9,54.46,4.89,tomato,0
-2.15,65.75,141.23,mustard,0
4.48,76.72,198.07,maize,0
32.92,75.5,182.02,rice,1
4.95,89.22,103.32,onion,0
18.15,63.68,120.99,maize,1
29.38,83.81,212.48,banana,1
51.64,56.71,156.45,sugarcane,0
22.53,41.63,28.4,mustard,1
33.76,53.59,58.37,sorghum,1
40.66,47.19,6.58,tomato,0
17.03,68.74,88.75,potato,1
15.63,73.45,65.66,potato,1
23.77,45.09,62.72,wheat,1
12.44,54.22,27.39,mango,0
10.99,48.27,132.67,sunflower,0
20.66,46.46,118.08,potato,0
29.19,54.4,94.28,groundnut,1
26.33,42.91,55.29,millet,1
26.25,79.09,181.47,banana,1
27.81,55.79,117.77,maize,1
28.01,27.21,151.18,maize,0
16.37,77.9,142.6,groundnut,0
22.66,53.84,40.63,wheat,1
8.05,83.15,202.71,maize,0
43.87,28.93,62.59,soybean,0
29.16,47.64,69.95,sorghum,1
38.89,23.76,19.98,sunflower,0
12.38,53.0,92.22,millet,0
25.44,52.52,63.63,groundnut,1
31.09,75.17,215.81,sugarcane,1
1.27,55.5,85.42,mustard,0
32.33,40.04,47.03,millet,1
15.32,68.99,97.01,potato,1
21.75,62.84,303.41,wheat,0
15.79,68.28,68.72,potato,1
24.58,57.22,72.0,groundnut,1
12.92,37.34,141.75,sunflower,0
9.49,74.32,166.2,mango,0
27.02,64.79,83.79,mango,1
26.48,73.22,190.01,rice,1
10.59,77.17,131.2,cotton,0
27.95,57.17,71.29,groundnut,1
14.86,60.15,54.72,onion,1
24.83,65.55,99.59,soybean,1
28.74,71.48,185.1,rice,1
6.9,87.44,307.84,rice,0
20.18,46.6,20.59,mustard,1
20.2,67.43,91.67,soybean,1
18.17,48.49,77.35,wheat,1
15.63,46.02,74.88,wheat,1
27.65,63.23,118.87,maize,1
21.8,58.9,104.73,maize,1
22.65,30.86,258.31,sunflower,0
15.85,79.18,167.84,mango,0
26.11,82.7,205.52,banana,1
3.79,82.51,201.33,maize,0
27.28,61.64,83.45,mango,1
30.72,81.18,207.02,banana,1
21.95,74.62,337.16,millet,0
17.35,70.23,60.6,potato,1
10.05,104.33,257.21,rice,0
31.2,80.27,201.52,sugarcane,1
7.14,79.4,152.51,cotton,0
9.66,95.35,250.27,rice,0
17.41,65.59,74.06,potato,1
28.92,54.18,61.18,sunflower,1
42.54,30.13,7.83,groundnut,0
16.01,52.71,40.21,wheat,1
26.97,50.06,66.51,sunflower,1
27.61,61.14,127.38,maize,1
38.77,41.17,57.68,mango,0
24.8,72.23,73.02,tomato,1
30.32,63.87,113.81,rice,0
28.54,56.04,112.49,mango,1
41.64,47.21,26.02,maize,0
16.72,67.71,121.75,millet,0
31.17,45.02,69.06,sorghum,1
16.11,35.2,212.39,groundnut,0
41.37,34.33,301.03,mango,0
11.61,47.29,34.64,mustard,1
26.45,75.8,206.19,rice,1
44.91,35.88,20.78,groundnut,0
41.92,76.95,52.36,onion,0
32.87,49.22,57.82,sorghum,1
24.33,51.96,45.49,wheat,1
21.72,57.59,58.5,onion,1
29.16,48.03,55.0,sorghum,1
23.95,75.01,187.15,rice,1
25.96,77.21,206.3,sugarcane,1
33.35,82.08,189.5,sugarcane,1
27.46,48.93,53.33,sorghum,1
31.72,51.72,78.57,sorghum,1
40.47,66.89,256.88,sorghum,0
21.45,55.0,62.2,wheat,1
20.97,75.63,188.94,sugarcane,1
9.94,99.75,247.28,sorghum,0
25.62,78.06,197.95,sugarcane,1
41.0,20.32,0.84,sorghum,0
33.58,78.46,183.69,rice,1
6.26,71.25,303.16,onion,0
13.4,60.55,93.93,sugarcane,0
16.12,69.17,60.34,potato,1
26.78,52.12,83.14,sorghum,1
23.55,48.36,79.17,cotton,1
15.65,65.94,73.42,potato,1
12.77,78.9,194.46,soybean,0
25.25,59.93,78.13,groundnut,1
32.12,55.05,44.18,rice,0
32.86,81.27,186.71,banana,1
39.82,37.89,3.71,cotton,0
38.8,26.45,31.64,cotton,0
46.58,55.85,66.12,rice,0
32.36,76.6,216.4,banana,1
20.81,55.13,103.56,maize,1
27.69,82.27,207.26,sugarcane,1
25.13,55.48,104.32,maize,1
24.4,42.66,53.86,mustard,1
15.65,62.81,40.39,onion,1
33.41,42.6,41.6,millet,1
18.33,54.57,40.61,wheat,1
48.53,62.96,86.38,sugarcane,0
28.8,47.85,81.39,sorghum,1
20.5,81.21,336.91,maize,0
29.93,83.38,190.13,sugarcane,1
17.78,45.06,42.76,mustard,1
26.39,58.3,323.65,sunflower,0
26.93,64.45,108.3,soybean,1
19.85,20.35,51.57,banana,0
48.69,12.29,1.7,millet,0
30.8,41.13,66.14,millet,1
27.18,38.58,39.56,millet,1
28.14,74.16,188.27,rice,1
17.66,79.03,163.65,sorghum,0
32.57,48.96,84.8,sorghum,1
22.3,67.86,79.19,soybean,1
13.86,63.64,57.31,onion,1
17.8,54.89,67.22,wheat,1
20.63,60.19,62.66,onion,1
5.33,92.41,275.47,rice,0
22.15,52.89,42.96,wheat,1
37.0,59.62,320.55,groundnut,0
22.24,52.83,85.23,sunflower,1
28.29,52.87,87.36,groundnut,1
27.34,63.54,88.83,mango,1
30.91,24.96,7.11,wheat,0
11.54,83.51,152.8,soybean,0
17.71,66.01,84.56,potato,1
22.56,54.12,60.96,cotton,1
5.92,89.24,291.16,rice,0
45.71,48.75,106.91,rice,0
23.97,61.09,131.12,maize,1
42.81,25.33,231.13,maize,0
6.58,92.61,288.1,sugarcane,0
25.64,56.58,93.27,groundnut,1
28.52,83.42,180.7,banana,1
29.63,54.83,82.22,sorghum,1
27.61,63.92,101.51,mango,1
31.53,83.62,211.32,banana,1
33.2,80.0,186.71,sugarcane,1
13.42,98.13,309.17,sugarcane,0
11.53,109.05,317.43,sugarcane,0
26.9,60.79,122.81,maize,1
30.52,36.43,6.08,onion,0
23.25,46.72,60.89,sunflower,1
23.46,74.65,76.79,tomato,1
43.02,10.21,0.97,millet,0
26.42,53.74,98.49,cotton,1
19.75,56.77,137.6,millet,0
44.56,96.08,329.98,tomato,0
49.64,68.28,107.77,sugarcane,0
32.65,75.84,207.47,banana,1
27.83,69.29,100.1,soybean,1
29.98,53.24,68.77,cotton,1
23.37,46.05,80.86,sunflower,1
21.94,63.09,41.39,onion,1
29.69,47.02,55.91,sunflower,1
39.57,32.41,41.46,maize,0
34.17,84.1,210.94,sugarcane,1
7.75,76.88,51.17,mango,0
22.37,70.11,75.2,tomato,1
27.07,51.58,88.32,sunflower,1
23.96,42.03,56.63,mustard,1
26.12,78.2,185.55,sugarcane,1
17.97,51.14,43.39,wheat,1
18.94,69.34,52.19,tomato,1
33.5,52.83,68.16,sorghum,1
10.26,48.19,31.39,mustard,1
14.56,63.5,50.44,onion,1
22.01,61.28,57.02,onion,1
27.71,55.33,287.06,sugarcane,0
37.81,37.81,155.65,potato,0
25.52,54.61,94.54,groundnut,1
-1.28,63.5,93.8,mustard,0
12.73,77.14,180.5,mango,0
29.6,51.95,71.47,cotton,1
25.81,35.07,67.05,millet,1
0.05,70.68,158.45,wheat,0
26.91,54.75,71.31,sunflower,1
22.85,43.48,26.51,mustard,1
47.74,63.33,62.77,sugarcane,0
21.06,48.83,28.75,mustard,1
13.05,45.56,32.32,mustard,1
22.49,22.57,176.47,soybean,0
1.79,71.92,132.97,onion,0
11.79,95.08,143.81,tomato,0
15.16,65.4,95.8,potato,1
19.66,61.03,135.46,maize,1
20.13,49.94,209.84,sorghum,0
15.07,90.77,83.33,millet,0
28.33,64.06,84.47,mango,1
29.47,63.73,120.76,maize,1
9.89,58.5,104.58,maize,0
3.99,92.96,167.63,tomato,0
28.2,61.32,132.51,maize,1
2.11,89.98,166.86,onion,0
24.03,63.75,88.1,mango,1
19.83,56.2,62.35,onion,1
29.92,92.99,17.32,tomato,0
33.07,69.22,179.53,mustard,0
5.09,80.76,176.3,maize,0
14.02,57.03,47.93,onion,1
28.84,52.58,67.34,sunflower,1
6.83,88.63,155.0,tomato,0
37.99,20.67,0.4,wheat,0
9.09,60.82,161.61,cotton,0
19.7,103.19,251.2,banana,0
19.3,67.56,100.55,millet,0
33.41,79.76,199.39,banana,1
7.76,106.5,258.38,sugarcane,0
25.22,51.56,83.95,groundnut,1
7.52,102.03,317.15,rice,0
18.08,48.6,50.79,wheat,1
30.54,74.54,207.5,rice,1
7.97,102.71,255.8,sugarcane,0
11.67,80.63,174.91,maize,0
15.3,47.73,79.7,wheat,1
39.74,57.86,265.51,onion,0
31.32,49.1,59.31,sorghum,1
35.74,42.79,131.9,banana,0
32.91,70.11,208.83,rice,1
7.87,73.05,137.74,cotton,0
6.35,62.48,102.45,wheat,0
35.7,55.43,154.25,sugarcane,0
38.72,30.74,8.14,onion,0
29.35,37.89,61.89,millet,1
36.3,35.35,236.88,mango,0
38.56,21.84,5.29,sunflower,0
32.11,51.25,73.16,sorghum,1
7.25,83.08,190.55,soybean,0
26.65,61.48,113.66,mango,1
21.48,74.03,193.57,rice,1
12.66,46.82,32.74,mustard,1
41.99,26.65,2.89,millet,0
39.75,59.26,344.54,maize,0
32.1,84.16,189.04,sugarcane,1
22.52,59.46,86.08,groundnut,1
44.9,63.19,11.76,rice,0
13.83,59.6,53.52,onion,1
39.92,31.85,24.94,sorghum,0
27.6,56.49,87.25,mango,1
43.27,90.09,284.6,maize,0
23.83,67.95,71.73,tomato,1
32.64,56.14,33.19,potato,0
18.49,74.16,61.16,tomato,1
17.06,52.52,72.35,wheat,1
33.41,43.59,6.35,onion,0
15.53,58.32,30.4,onion,1
42.94,39.39,23.33,cotton,0
28.07,64.25,88.87,soybean,1
33.83,51.31,14.32,potato,0
22.35,71.68,238.71,soybean,0
4.14,73.39,130.27,onion,0
36.7,36.32,23.99,mango,0
1.24,81.37,138.75,onion,0
13.34,80.05,159.86,soybean,0
48.45,22.35,15.46,sorghum,0
16.7,69.03,181.58,sorghum,0
7.43,64.64,328.39,maize,0
22.62,61.26,42.52,onion,1
24.72,81.4,211.07,sugarcane,1
14.05,100.59,240.52,sugarcane,0
30.76,46.3,89.7,cotton,1
37.45,50.95,9.13,soybean,0
23.22,52.21,61.75,cotton,1
40.23,50.73,51.92,groundnut,0
36.61,32.14,135.59,sugarcane,0
32.04,80.52,212.4,banana,1
25.02,64.16,80.99,mango,1
27.37,64.1,127.67,maize,1
22.07,55.19,65.61,groundnut,1
29.42,58.57,126.85,maize,1
26.64,82.91,196.83,banana,1
35.04,40.83,9.32,groundnut,0
5.99,96.05,166.79,potato,0
23.69,75.95,204.78,rice,1
25.48,48.06,85.33,cotton,1
29.69,27.25,55.28,banana,0
49.96,56.07,74.23,banana,0
21.45,45.45,25.86,mustard,1
29.95,61.26,105.7,mango,1
5.23,90.6,156.49,tomato,0
23.24,43.38,49.42,mustard,1
41.39,21.02,3.08,millet,0
26.85,60.59,226.54,millet,0
31.7,42.39,58.48,millet,1
29.34,37.22,67.1,millet,1
43.96,38.4,19.16,sorghum,0
5.11,52.06,291.66,mustard,0
26.68,64.05,125.77,maize,1
40.5,22.36,6.0,millet,0
29.73,52.39,83.2,groundnut,1
29.06,42.14,34.28,millet,1
9.94,83.4,174.74,tomato,0
29.8,20.89,145.93,onion,0
10.96,80.24,157.66,mango,0
26.28,41.51,65.8,maize,0
13.03,108.22,300.4,banana,0
49.61,50.65,86.34,sugarcane,0
23.35,74.97,66.01,tomato,1
29.64,51.7,74.95,sorghum,1
27.57,78.31,201.91,rice,1
30.71,54.4,26.27,potato,0
19.91,69.51,94.29,potato,1
51.43,66.2,138.42,sugarcane,0
34.53,44.06,53.12,millet,1
5.61,71.88,122.61,wheat,0
45.77,23.07,10.74,sorghum,0
10.7,85.15,236.9,maize,0
26.93,70.5,195.16,rice,1
16.33,48.25,59.18,mustard,1
33.96,39.62,62.57,millet,1
39.72,40.78,274.73,cotton,0
7.05,44.64,255.56,maize,0
31.56,37.92,59.5,millet,1
31.74,52.37,77.37,cotton,1
10.2,80.48,177.65,tomato,0
-4.92,55.5,132.49,mustard,0
23.18,52.06,92.4,cotton,1
27.69,51.63,69.87,sunflower,1
22.19,92.4,251.99,soybean,0
28.17,76.48,216.34,rice,1
47.41,64.44,14.68,rice,0
29.05,45.96,80.08,sorghum,1
15.54,40.26,45.83,mustard,1
22.13,40.98,53.22,mustard,1
30.94,31.78,306.67,cotton,0
31.98,30.15,162.26,tomato,0
42.76,25.7,25.75,cotton,0
38.11,46.21,5.89,soybean,0
37.06,82.31,302.29,groundnut,0
31.75,20.88,0.0,mustard,0
28.82,60.39,100.05,maize,1
13.0,41.43,53.65,mustard,1
21.06,50.16,53.12,wheat,1
38.92,35.14,10.62,wheat,0
22.54,68.02,56.44,tomato,1
18.59,43.45,45.21,mustard,1
25.68,63.24,99.82,mango,1
49.62,63.02,75.0,banana,0
24.38,45.26,52.22,mustard,1
44.12,67.78,35.87,banana,0
42.12,44.42,49.29,mango,0
13.89,97.02,237.22,potato,0
18.46,49.42,50.26,wheat,1
46.76,59.94,94.28,sugarcane,0
35.18,32.4,9.84,groundnut,0
26.76,58.11,37.81,potato,0
43.74,41.71,17.41,groundnut,0
33.02,34.74,195.18,mango,0
7.37,29.51,88.55,millet,0
31.94,42.92,49.04,millet,1
20.81,101.18,296.83,banana,0
10.91,48.38,50.02,mustard,1
29.94,79.23,188.83,banana,1
6.1,108.08,300.21,sugarcane,0
21.61,51.92,85.1,cotton,1
26.56,74.81,286.88,mustard,0
36.57,72.0,124.78,soybean,0
15.37,75.82,206.1,cotton,0
22.14,49.3,59.4,sunflower,1
34.88,25.39,277.34,onion,0
27.5,46.85,79.88,sorghum,1
35.25,83.86,190.54,sugarcane,1
27.32,32.08,136.42,tomato,0
28.88,63.12,100.76,maize,1
19.84,62.97,53.44,onion,1
7.82,74.54,167.16,maize,0
38.11,54.48,7.12,tomato,0
12.74,82.51,125.06,tomato,0
24.05,42.27,13.4,cotton,0
22.39,57.73,246.05,mango,0
16.4,79.88,157.12,rice,0
27.81,58.45,131.71,maize,1
52.31,65.64,76.22,sugarcane,0
29.75,80.2,206.92,sugarcane,1
49.84,65.53,8.3,sugarcane,0
7.69,70.17,233.77,maize,0
24.88,55.88,119.94,maize,1
16.42,43.32,25.45,mustard,1
40.62,37.57,27.99,groundnut,0
21.25,67.01,91.98,soybean,1
25.55,44.97,55.88,millet,1
36.18,82.86,303.62,wheat,0
35.07,30.39,116.6,soybean,0
28.93,61.34,80.63,mango,1
7.5,96.74,173.9,potato,0
46.52,39.43,23.07,cotton,0
22.55,53.73,43.27,wheat,1
19.97,89.23,169.84,soybean,0
28.94,43.1,57.87,millet,1
34.92,38.33,42.11,millet,1
3.96,86.18,173.23,potato,0
13.85,70.04,196.68,cotton,0
19.08,66.83,87.55,potato,1
30.04,75.64,188.72,rice,1
28.63,61.87,107.38,mango,1
48.45,13.26,0.59,millet,0
28.9,75.49,196.02,banana,1
28.36,35.32,52.75,millet,1
23.67,61.91,303.57,tomato,0
22.48,72.34,40.67,tomato,1
43.99,31.04,10.51,groundnut,0
9.48,92.24,287.49,rice,0
24.61,48.54,60.21,cotton,1
31.97,54.44,64.77,sorghum,1
3.3,81.92,119.47,tomato,0
30.3,39.72,5.56,onion,0
28.34,99.11,140.17,mango,0
41.31,69.77,258.68,cotton,0
15.7,63.75,41.78,onion,1
30.91,51.98,84.78,sunflower,0
10.03,75.26,151.84,soybean,0
23.85,68.9,69.44,tomato,1
20.34,49.36,78.08,sunflower,1
27.62,57.62,103.77,mango,1
39.12,37.02,54.37,maize,0
20.95,42.21,31.19,mustard,1
21.6,48.5,30.88,mustard,1
19.77,68.6,84.1,potato,1
34.97,80.91,208.76,banana,1
7.86,91.53,281.66,sugarcane,0
30.67,76.67,210.97,sugarcane,1
20.39,73.12,207.09,rice,1
5.16,91.31,14.88,sunflower,0
16.74,41.4,36.13,mustard,1
39.13,71.4,305.26,mango,0
8.85,79.57,90.92,maize,0
-1.55,58.44,100.33,mustard,0
25.76,39.89,102.09,tomato,0
21.17,53.14,68.24,wheat,1
31.13,54.43,52.07,sorghum,1
11.88,98.2,319.17,banana,0
20.87,64.64,139.27,maize,1
50.39,63.44,138.42,sugarcane,0
13.62,76.41,163.37,soybean,0
22.78,68.8,82.57,soybean,1
27.96,70.01,192.97,rice,1
42.47,87.81,141.62,onion,0
12.0,87.43,147.12,sunflower,0
41.7,38.94,22.0,groundnut,0
42.28,67.8,16.28,banana,0
20.77,79.41,199.11,rice,1
29.01,71.21,219.35,rice,1
21.57,63.35,88.14,soybean,1
33.6,52.28,15.1,potato,0
23.13,56.81,91.04,groundnut,1
22.05,20.35,23.58,banana,0
9.89,78.28,282.35,sunflower,0
20.07,54.2,67.67,wheat,1
4.9,76.89,212.43,maize,0
41.67,86.99,55.67,cotton,0
33.19,73.7,186.31,rice,1
8.35,83.26,125.43,tomato,0
29.34,84.82,201.19,banana,1
29.38,60.27,102.35,mango,1
33.79,84.97,187.64,banana,1
18.6,63.13,134.97,maize,1
27.26,47.17,72.19,cotton,1
30.16,47.48,63.11,sorghum,1
44.61,47.35,133.14,rice,0
43.65,74.97,50.53,sugarcane,0
23.93,67.74,98.25,soybean,1
28.72,77.67,209.91,sugarcane,1
22.02,43.73,29.18,mustard,1
9.14,67.83,128.69,groundnut,0
19.62,52.08,57.54,wheat,1
19.37,70.0,146.46,sorghum,0
25.69,44.79,38.03,millet,1
0.22,69.75,98.65,mustard,0
40.16,92.59,70.18,tomato,0
43.71,48.99,36.95,soybean,0
15.52,49.13,68.69,wheat,1
43.02,26.32,11.68,sorghum,0
37.8,68.0,117.28,cotton,0
11.31,44.56,51.48,mustard,1
29.85,52.54,18.05,potato,0
26.31,60.93,112.44,mango,1
18.17,44.22,285.45,sorghum,0
21.85,58.31,111.13,maize,1
25.66,67.84,51.03,tomato,1
23.53,57.47,36.93,onion,1
10.91,92.04,245.94,rice,0
23.21,71.32,217.42,rice,1
20.88,73.79,219.41,rice,1
28.71,62.68,78.37,soybean,1
8.74,57.27,224.87,cotton,0
8.09,84.19,232.31,maize,0
28.11,43.92,51.62,millet,1
22.58,62.96,104.53,maize,1
14.15,87.91,141.05,soybean,0
32.13,82.68,197.6,banana,1
44.19,31.69,21.41,sorghum,0
45.64,63.15,51.56,sugarcane,0
24.78,67.82,105.06,soybean,1
14.24,95.39,304.09,rice,0
25.31,84.9,191.83,sugarcane,1
29.73,78.53,193.0,banana,1
2.5,64.91,100.97,mustard,0
6.45,64.96,148.08,wheat,0
28.98,57.72,78.25,groundnut,1
20.37,66.89,93.95,soybean,1
31.18,81.46,195.38,banana,1
32.37,81.33,199.97,sugarcane,1
42.37,23.84,20.07,sorghum,0
11.9,73.36,200.86,mango,0
22.09,67.14,217.08,onion,0
30.94,71.63,195.18,rice,1
6.85,66.97,243.52,mango,0
8.65,77.67,207.35,potato,0
28.86,75.42,188.19,banana,1
34.6,43.32,37.76,millet,1
30.46,27.28,18.4,wheat,0
15.09,87.58,213.69,mango,0
24.43,62.11,117.4,mango,1
19.71,42.32,58.34,mustard,1
28.0,77.51,180.75,banana,1
14.02,95.8,181.61,rice,0
26.2,68.71,71.01,tomato,1
29.86,83.24,214.92,banana,1
29.73,48.33,92.09,cotton,1
19.76,84.29,193.08,rice,0
40.69,31.86,3.93,mango,0
18.12,68.81,226.68,rice,0
9.21,75.38,167.2,mango,0
37.32,38.66,9.95,cotton,0
27.95,41.6,33.03,millet,1
24.42,47.05,55.78,sunflower,1
7.87,81.98,61.08,potato,0
27.35,44.34,28.67,potato,0
28.89,25.84,194.95,millet,0
5.48,49.04,113.38,tomato,0
37.34,52.44,0.71,tomato,0
14.76,59.55,214.52,mango,0
21.98,59.19,49.81,onion,1
23.74,41.87,50.46,mustard,1
26.29,75.84,200.91,rice,1
28.79,53.7,66.7,sorghum,1
16.69,52.2,59.53,wheat,1
40.32,29.1,38.49,cotton,0
41.12,35.07,19.79,sorghum,0
35.49,26.3,162.73,groundnut,0
27.65,50.64,74.18,groundnut,1
30.5,42.67,34.55,millet,1
24.12,77.88,218.44,sugarcane,1
20.02,58.13,131.43,maize,1
22.91,53.37,52.87,sunflower,1
34.26,51.43,155.97,maize,0
22.94,45.48,26.93,mustard,1
26.44,48.34,81.76,sorghum,1
9.25,94.74,166.74,cotton,0
13.43,58.42,30.43,onion,1
5.6,57.97,180.69,mustard,0
29.45,79.9,185.13,banana,1
19.64,67.82,87.13,potato,1
34.56,71.79,218.5,rice,1
22.46,65.86,104.88,soybean,1
28.59,64.44,82.11,soybean,1
23.66,49.68,52.5,mustard,1
37.35,49.7,16.75,tomato,0
19.17,41.86,29.86,mustard,1
27.83,50.34,81.16,sunflower,1
-2.72,61.91,127.1,mustard,0
19.06,47.21,136.25,sunflower,0
10.38,49.45,35.01,mustard,1
21.48,35.95,118.19,groundnut,0
50.56,66.55,30.74,sugarcane,0
37.83,81.33,185.51,sugarcane,1
27.81,36.11,48.62,millet,1
26.84,51.0,87.18,cotton,1
31.8,52.4,55.04,sorghum,1
7.77,65.52,168.6,cotton,0
38.18,24.61,24.06,cotton,0
42.3,99.47,149.84,onion,0
35.22,80.59,204.63,sugarcane,1
22.71,50.0,90.7,cotton,1
12.12,62.32,109.84,sugarcane,0
21.79,64.81,129.81,maize,1
44.7,43.93,22.67,groundnut,0
38.27,73.86,330.77,tomato,0
23.23,72.02,79.2,tomato,1
22.71,60.81,58.91,onion,1
52.17,50.68,143.89,sugarcane,0
22.18,80.11,78.54,tomato,0
20.76,37.0,165.31,soybean,0
42.77,39.65,20.38,sorghum,0
17.74,74.9,99.86,potato,1
22.43,54.28,55.5,sunflower,1
9.17,73.21,120.82,groundnut,0
27.98,67.0,97.01,sugarcane,0
17.87,84.91,343.52,onion,0
